order_id,customer_id,employee_id,order_date,order_status,shipping_method,shipping_address,shipping_cost
143,3006,145,2023-01-07,Delivered,Standard,"3439 Willow Way, San Diego, CA",2.27
144,6113,485,2025-03-18,Cancelled,Standard,"7792 Maple Dr, Phoenix, AZ",10.26
145,17,127,2022-11-18,Cancelled,Standard,"8961 Oak Ave, San Jose, CA",1.01
146,6073,300,2023-08-28,Pending,Standard,"6975 Pine Rd, Austin, TX",13.18
147,1060,448,2022-03-30,Delivered,Standard,"6064 Maple Dr, Denver, CO",19.61
148,7515,282,2025-01-17,Pending,Standard,"3968 Oak Ave, New York, NY",17.34
149,436,271,2024-05-09,Pending,Standard,"6143 Maple Dr, Fort Worth, TX",8.18
150,4725,126,2024-06-06,Cancelled,Standard,"2723 Cedar Ln, Seattle, WA",11.46
151,7169,434,2022-04-03,Delivered,Overnight,"7984 Pine Rd, Denver, CO",3.52
152,6088,247,2022-11-29,Cancelled,Overnight,"8855 Oak Ave, Columbus, OH",10.33
153,2068,39,2025-04-07,Cancelled,Express,"3753 Maple Dr, Washington, DC",7.55
154,659,139,2022-11-15,Cancelled,Express,"6465 Main St, San Jose, CA",9.92
155,7730,415,2024-10-25,Delivered,Overnight,"3846 Elm St, San Antonio, TX",3.28
156,4233,201,2023-01-30,Shipped,Express,"2707 Maple Dr, New York, NY",5.63
157,3247,314,2022-12-13,Shipped,Express,"305 Oak Ave, San Diego, CA",18.01
158,3508,29,2023-11-22,Cancelled,Overnight,"2113 Birch Blvd, Denver, CO",12.25
159,2147,425,2023-03-19,Shipped,Standard,"8085 Oak Ave, Seattle, WA",14.74
160,1223,417,2025-02-18,Shipped,Express,"2064 Oak Ave, Houston, TX",18.21
161,6992,260,2023-08-04,Cancelled,Standard,"7403 Pine Rd, Philadelphia, PA",1.62
162,3649,37,2023-08-30,Cancelled,Express,"2471 Cedar Ln, Philadelphia, PA",5.25
163,242,175,2024-12-23,Shipped,Overnight,"4800 Willow Way, Jacksonville, FL",12.03
164,5367,261,2025-06-21,Delivered,Standard,"4095 Oak Ave, San Jose, CA",9.58
165,1820,220,2025-05-20,Pending,Express,"5371 Cedar Ln, San Francisco, CA",7.96
166,830,155,2024-01-02,Shipped,Overnight,"2418 Elm St, San Jose, CA",16.27
167,5468,25,2024-08-12,Cancelled,Express,"7613 Willow Way, New York, NY",18.46
168,4058,20,2024-07-28,Pending,Express,"1948 Main St, San Jose, CA",15.37
169,7768,298,2024-09-01,Delivered,Overnight,"1292 Oak Ave, Washington, DC",14.16
170,6211,43,2022-12-23,Delivered,Express,"8045 Willow Way, San Diego, CA",6.82
171,6662,280,2025-11-24,Pending,Standard,"2180 Maple Dr, Seattle, WA",8.47
172,1789,179,2022-04-28,Shipped,Standard,"7555 Elm St, Philadelphia, PA",18.24
173,5978,211,2025-07-26,Cancelled,Overnight,"7584 Main St, Philadelphia, PA",17.56
174,2372,386,2023-06-02,Shipped,Overnight,"4771 Maple Dr, Charlotte, NC",15.74
175,7791,387,2025-09-18,Cancelled,Express,"1762 Main St, Austin, TX",9.91
176,3927,171,2023-10-31,Pending,Express,"236 Cedar Ln, San Jose, CA",2.1
177,2799,332,2022-03-22,Delivered,Standard,"9791 Oak Ave, Washington, DC",3.27
178,2665,221,2024-07-16,Pending,Express,"7059 Willow Way, Dallas, TX",16.05
179,2428,495,2023-12-12,Cancelled,Express,"8820 Elm St, Los Angeles, CA",7.3
180,7318,280,2023-03-23,Pending,Standard,"4603 Oak Ave, Chicago, IL",4.03
181,6343,98,2022-11-12,Delivered,Standard,"227 Elm St, Phoenix, AZ",0.4
182,2390,314,2024-12-09,Pending,Overnight,"6705 Maple Dr, New York, NY",5.01
183,2968,48,2022-07-24,Pending,Standard,"1382 Oak Ave, Philadelphia, PA",5.92
184,7104,221,2024-12-08,Cancelled,Express,"690 Willow Way, Austin, TX",17.05
185,6499,128,2025-07-18,Shipped,Express,"7282 Cedar Ln, Seattle, WA",18.23
186,5659,322,2022-09-07,Cancelled,Standard,"7092 Birch Blvd, Chicago, IL",4.66
187,1403,224,2024-11-11,Cancelled,Overnight,"9240 Birch Blvd, Washington, DC",19.75
188,6036,100,2024-03-22,Pending,Express,"286 Pine Rd, San Jose, CA",18.02
189,3822,457,2023-05-03,Shipped,Express,"1147 Pine Rd, Fort Worth, TX",19.29
190,2831,28,2025-06-24,Cancelled,Express,"8087 Oak Ave, San Francisco, CA",16.76
191,6344,393,2025-05-04,Pending,Overnight,"2548 Maple Dr, San Jose, CA",15.28
192,2270,209,2024-08-10,Cancelled,Express,"2394 Elm St, Fort Worth, TX",17.36
193,4832,53,2023-08-02,Shipped,Overnight,"9527 Cedar Ln, Dallas, TX",10.93
194,6297,212,2024-09-14,Pending,Overnight,"8845 Birch Blvd, Jacksonville, FL",1.92
195,4767,376,2025-10-14,Delivered,Standard,"3946 Pine Rd, Houston, TX",2.63
196,4149,88,2024-08-15,Pending,Overnight,"4311 Maple Dr, San Diego, CA",4.19
197,4842,155,2025-06-18,Pending,Overnight,"4234 Oak Ave, Seattle, WA",16.39
198,4079,499,2024-11-18,Pending,Overnight,"1865 Birch Blvd, Austin, TX",5.05
199,161,429,2022-01-09,Cancelled,Overnight,"7825 Oak Ave, Philadelphia, PA",10.43
200,2050,212,2023-12-05,Cancelled,Standard,"9758 Birch Blvd, Seattle, WA",11.52
201,5430,411,2022-02-25,Cancelled,Overnight,"5292 Pine Rd, San Francisco, CA",3.65
202,7588,33,2025-10-04,Delivered,Express,"7675 Main St, Denver, CO",12.01
203,7833,473,2024-12-07,Pending,Overnight,"8945 Pine Rd, Dallas, TX",2.07
204,3626,487,2023-09-04,Delivered,Standard,"6907 Maple Dr, San Jose, CA",16.24
205,879,223,2024-07-24,Cancelled,Overnight,"7839 Maple Dr, Houston, TX",10.97
206,4694,44,2022-06-05,Pending,Standard,"1090 Willow Way, Austin, TX",18.96
207,4189,259,2022-11-02,Shipped,Express,"3301 Birch Blvd, Charlotte, NC",6.6
208,95,134,2023-08-09,Pending,Express,"1256 Willow Way, Charlotte, NC",10.3
209,544,89,2023-05-14,Cancelled,Express,"3713 Willow Way, Austin, TX",9.39
210,6014,224,2023-12-10,Delivered,Overnight,"5350 Main St, New York, NY",16.09
211,3763,413,2023-09-25,Cancelled,Overnight,"2505 Cedar Ln, San Diego, CA",14.34
212,2063,31,2024-02-03,Pending,Overnight,"1091 Pine Rd, Jacksonville, FL",13.8
213,4792,482,2022-10-31,Pending,Express,"7730 Oak Ave, Denver, CO",16.79
214,5497,52,2024-05-17,Shipped,Standard,"9110 Cedar Ln, Houston, TX",0.22
215,2769,129,2024-10-16,Cancelled,Overnight,"5485 Cedar Ln, New York, NY",1.56
216,2145,136,2023-12-07,Delivered,Overnight,"8695 Oak Ave, San Diego, CA",2.48
217,1078,244,2022-09-27,Pending,Overnight,"3659 Maple Dr, Denver, CO",11.36
218,165,352,2025-10-16,Shipped,Overnight,"9482 Oak Ave, Dallas, TX",1.11
219,6240,382,2023-09-06,Delivered,Express,"1903 Birch Blvd, Jacksonville, FL",17.22
220,4346,170,2024-09-20,Shipped,Express,"3172 Maple Dr, Philadelphia, PA",9.19
221,2722,21,2025-04-20,Shipped,Standard,"4906 Willow Way, San Diego, CA",4.79
222,4423,474,2023-12-01,Pending,Overnight,"5070 Pine Rd, Houston, TX",13.85
223,3163,195,2024-12-10,Cancelled,Standard,"8426 Cedar Ln, Denver, CO",11.72
224,3446,295,2024-01-17,Shipped,Express,"4415 Pine Rd, Denver, CO",10.85
225,4744,246,2022-04-01,Shipped,Express,"6818 Cedar Ln, San Francisco, CA",9.33
226,2916,306,2023-12-31,Delivered,Overnight,"3787 Maple Dr, New York, NY",1.14
227,7523,32,2023-03-30,Delivered,Standard,"7564 Main St, Philadelphia, PA",6.69
228,5271,276,2022-12-12,Pending,Express,"4764 Birch Blvd, San Francisco, CA",15.64
229,7825,56,2023-04-17,Pending,Express,"5855 Oak Ave, Chicago, IL",1.55
230,4742,274,2024-08-22,Shipped,Express,"3836 Willow Way, San Jose, CA",13.31
231,7130,185,2023-08-31,Delivered,Standard,"4647 Maple Dr, Indianapolis, IN",2.18
232,1498,116,2023-12-12,Cancelled,Overnight,"6476 Birch Blvd, Columbus, OH",11.63
233,304,255,2022-11-06,Cancelled,Express,"2556 Main St, Austin, TX",7.49
234,473,202,2025-06-18,Delivered,Standard,"9347 Pine Rd, Austin, TX",9.24
235,3761,336,2024-11-14,Cancelled,Standard,"9102 Oak Ave, Charlotte, NC",6.45
236,1072,232,2024-07-20,Cancelled,Overnight,"9002 Willow Way, Seattle, WA",16.73
237,1962,51,2022-06-17,Cancelled,Express,"8363 Birch Blvd, New York, NY",17.57
238,6460,36,2024-07-10,Pending,Express,"6842 Maple Dr, Houston, TX",14.66
239,2656,206,2024-07-08,Shipped,Overnight,"1013 Birch Blvd, San Francisco, CA",10.89
240,3559,176,2025-06-15,Shipped,Overnight,"2635 Elm St, New York, NY",17.71
241,625,195,2025-11-07,Pending,Express,"4363 Cedar Ln, Fort Worth, TX",1.81
242,1829,313,2022-12-22,Delivered,Express,"5901 Oak Ave, San Diego, CA",9.26
243,351,445,2024-02-28,Cancelled,Overnight,"7999 Main St, Philadelphia, PA",16.46
244,5350,385,2023-09-03,Pending,Express,"2092 Main St, Washington, DC",4.44
245,1947,288,2025-03-18,Delivered,Overnight,"8850 Willow Way, Charlotte, NC",5.39
246,3780,355,2022-10-06,Cancelled,Standard,"5809 Oak Ave, Austin, TX",3.72
247,5785,83,2024-03-17,Pending,Standard,"3846 Elm St, San Antonio, TX",0.63
248,3799,199,2025-09-18,Cancelled,Standard,"4580 Elm St, Seattle, WA",17.48
249,3486,99,2022-02-14,Delivered,Overnight,"8015 Birch Blvd, Charlotte, NC",4.49
250,1197,343,2023-01-23,Shipped,Express,"1141 Willow Way, San Antonio, TX",16.03
251,832,435,2025-06-29,Pending,Standard,"2984 Main St, Chicago, IL",2.96
252,2682,242,2024-09-15,Shipped,Standard,"3561 Pine Rd, Jacksonville, FL",18.31
253,7881,180,2022-09-30,Delivered,Overnight,"9650 Pine Rd, Chicago, IL",11.46
254,861,497,2023-10-26,Delivered,Standard,"6648 Maple Dr, New York, NY",8.02
255,7073,219,2025-01-11,Cancelled,Standard,"8177 Elm St, Houston, TX",8.84
256,5867,325,2024-08-09,Delivered,Express,"3445 Willow Way, New York, NY",15.21
257,1102,460,2023-11-24,Delivered,Standard,"9108 Birch Blvd, San Francisco, CA",3.09
258,3298,303,2022-05-02,Shipped,Express,"2101 Birch Blvd, Charlotte, NC",10.95
259,222,392,2025-11-29,Shipped,Standard,"3817 Maple Dr, New York, NY",9.87
260,3626,333,2022-03-26,Cancelled,Standard,"6907 Maple Dr, San Jose, CA",5.8
261,3459,52,2025-09-16,Pending,Express,"3256 Birch Blvd, Phoenix, AZ",15.77
262,6985,324,2025-06-08,Shipped,Standard,"7133 Cedar Ln, Houston, TX",6.0
263,5286,443,2023-11-19,Pending,Express,"5329 Elm St, Fort Worth, TX",15.99
264,2177,329,2024-07-29,Pending,Express,"6399 Cedar Ln, Seattle, WA",4.61
265,4261,450,2025-08-04,Shipped,Overnight,"6997 Willow Way, Washington, DC",17.21
266,6530,209,2022-12-01,Cancelled,Overnight,"1977 Pine Rd, Indianapolis, IN",15.3
267,2533,146,2022-01-10,Shipped,Standard,"7827 Cedar Ln, San Jose, CA",2.99
268,7396,71,2022-08-14,Delivered,Standard,"1313 Maple Dr, Philadelphia, PA",0.21
269,5140,5,2022-02-02,Cancelled,Overnight,"8089 Cedar Ln, Houston, TX",6.55
270,116,146,2022-12-07,Delivered,Express,"4266 Birch Blvd, Seattle, WA",14.39
271,1662,124,2025-08-25,Shipped,Overnight,"4136 Maple Dr, Washington, DC",11.72
272,6898,9,2023-01-30,Cancelled,Express,"5070 Maple Dr, Denver, CO",11.15
273,681,376,2025-09-18,Pending,Overnight,"2369 Pine Rd, Phoenix, AZ",8.61
274,1804,72,2022-12-03,Shipped,Standard,"2871 Maple Dr, Denver, CO",14.35
275,3810,51,2024-01-22,Delivered,Overnight,"4497 Elm St, San Antonio, TX",12.42
276,4212,387,2024-04-01,Cancelled,Express,"3071 Elm St, San Francisco, CA",5.95
277,260,112,2024-11-22,Delivered,Standard,"8886 Elm St, San Antonio, TX",13.31
278,730,236,2025-01-22,Pending,Standard,"7080 Maple Dr, Phoenix, AZ",16.82
279,182,433,2024-07-13,Pending,Express,"5597 Main St, San Antonio, TX",16.73
280,7523,274,2024-04-28,Pending,Overnight,"7564 Main St, Philadelphia, PA",17.29
281,7435,12,2024-05-01,Delivered,Overnight,"5252 Pine Rd, Phoenix, AZ",18.32
282,6908,263,2024-11-10,Cancelled,Express,"5467 Elm St, Charlotte, NC",4.5
283,1146,386,2022-06-19,Shipped,Standard,"8283 Cedar Ln, Los Angeles, CA",12.03
284,2468,494,2024-08-31,Delivered,Overnight,"1779 Oak Ave, Fort Worth, TX",4.89
285,6315,73,2022-06-04,Pending,Express,"2780 Birch Blvd, Jacksonville, FL",9.65
286,6349,479,2023-09-07,Shipped,Express,"8566 Main St, Fort Worth, TX",2.61
287,1586,26,2024-10-22,Shipped,Express,"2676 Main St, Denver, CO",14.15
288,728,186,2025-11-29,Delivered,Standard,"938 Main St, Denver, CO",10.2
289,5383,445,2023-09-22,Cancelled,Overnight,"8176 Elm St, Denver, CO",7.58
290,6303,274,2024-06-24,Shipped,Standard,"7435 Cedar Ln, Seattle, WA",0.28
291,5812,158,2023-03-17,Cancelled,Overnight,"3292 Elm St, Austin, TX",3.5
292,724,433,2025-06-09,Shipped,Standard,"2228 Elm St, Indianapolis, IN",3.7
293,2723,342,2024-04-20,Pending,Standard,"8061 Oak Ave, Houston, TX",12.52
294,7483,355,2023-07-29,Cancelled,Express,"1940 Main St, Houston, TX",2.39
295,317,365,2022-04-11,Delivered,Express,"7420 Pine Rd, San Diego, CA",17.58
296,2719,70,2024-11-25,Shipped,Overnight,"5660 Elm St, San Antonio, TX",2.97
297,2443,3,2022-03-08,Pending,Express,"1075 Birch Blvd, Los Angeles, CA",18.51
298,3550,365,2023-01-31,Shipped,Standard,"3527 Birch Blvd, Los Angeles, CA",1.83
299,5339,142,2023-11-05,Cancelled,Express,"6294 Willow Way, San Francisco, CA",7.77
300,4967,226,2024-06-09,Delivered,Express,"2886 Willow Way, Houston, TX",9.69
301,662,253,2025-02-20,Delivered,Standard,"7972 Cedar Ln, Austin, TX",7.02
302,6280,387,2024-02-29,Delivered,Standard,"9605 Birch Blvd, San Francisco, CA",1.86
303,2651,344,2023-10-09,Delivered,Overnight,"8149 Main St, Washington, DC",13.57
304,5240,93,2022-07-15,Delivered,Express,"9207 Maple Dr, San Francisco, CA",9.0
305,4228,433,2024-04-16,Shipped,Overnight,"1159 Oak Ave, Indianapolis, IN",0.24
